FIPS,State,"County, State",Food Bank,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Child Food Insecurity Rate,# of Food Insecure Children
37001,NC,"Alamance County, North Carolina",SHNFB NW NC,2021,0.1140," 19,330 ",0.153000," 5,790 "
37003,NC,"Alexander County, North Carolina",SHNFB NW NC,2021,0.1160," 4,240 ",0.135000, 990 
37005,NC,"Alleghany County, North Carolina",SHNFB NW NC,2021,0.1580," 1,720 ",0.208000, 390 
37007,NC,"Anson County, North Carolina",METROLINA,2021,0.1250," 2,800 ",0.264000," 1,220 "
37009,NC,"Ashe County, North Carolina",SHNFB NW NC,2021,0.1310," 3,480 ",0.140000, 650 
37011,NC,"Avery County, North Carolina",MANNA,2021,0.1310," 2,320 ",0.137000, 350 
37013,NC,"Beaufort County, North Carolina",ALBEMARLE,2021,0.1320," 5,950 ",0.199000," 1,790 "
37015,NC,"Bertie County, North Carolina",ALBEMARLE,2021,0.1410," 2,550 ",0.283000, 880 
37017,NC,"Bladen County, North Carolina",SHFB SE NC,2021,0.1470," 4,440 ",0.237000," 1,470 "
37019,NC,"Brunswick County, North Carolina",Central/Eastern,2021,0.1120," 15,030 ",0.145000," 2,920 "
37021,NC,"Buncombe County, North Carolina",MANNA,2021,0.1190," 31,670 ",0.118000," 5,830 "
37023,NC,"Burke County, North Carolina",METROLINA,2021,0.1500," 13,180 ",0.183000," 3,000 "
37025,NC,"Cabarrus County, North Carolina",METROLINA,2021,0.0890," 19,700 ",0.111000," 6,290 "
37027,NC,"Caldwell County, North Carolina",SHNFB NW NC,2021,0.1350," 10,890 ",0.153000," 2,510 "
37029,NC,"Camden County, North Carolina",ALBEMARLE,2021,0.0940, 970 ,0.112000, 270 
37031,NC,"Carteret County, North Carolina",Central/Eastern,2021,0.1170," 7,980 ",0.120000," 1,420 "
37033,NC,"Caswell County, North Carolina",SHNFB NW NC,2021,0.1280," 2,910 ",0.208000, 880 
37035,NC,"Catawba County, North Carolina",METROLINA,2021,0.1200," 19,250 ",0.138000," 4,910 "
37037,NC,"Chatham County, North Carolina","Inter-Faith, Central/Eastern",2021,0.0970," 7,310 ",0.100000," 1,510 "
37039,NC,"Cherokee County, North Carolina",MANNA,2021,0.1470," 4,190 ",0.161000, 750 
37041,NC,"Chowan County, North Carolina",ALBEMARLE,2021,0.1410," 1,950 ",0.256000, 730 
37043,NC,"Clay County, North Carolina",MANNA,2021,0.1430," 1,570 ",0.134000, 250 
37045,NC,"Cleveland County, North Carolina",METROLINA,2021,0.1390," 13,710 ",0.196000," 4,320 "
37047,NC,"Columbus County, North Carolina",Central/Eastern,2021,0.1450," 7,480 ",0.224000," 2,420 "
37049,NC,"Craven County, North Carolina",Central/Eastern,2021,0.1200," 12,200 ",0.179000," 3,940 "
37051,NC,"Cumberland County, North Carolina",SHFB SE NC,2021,0.1410," 47,040 ",0.230000," 19,200 "
37053,NC,"Currituck County, North Carolina",ALBEMARLE,2021,0.0890," 2,440 ",0.090000, 550 
37055,NC,"Dare County, North Carolina",ALBEMARLE,2021,0.1000," 3,680 ",0.107000, 730 
37057,NC,"Davidson County, North Carolina",SHNFB NW NC,2021,0.1270," 21,310 ",0.153000," 5,660 "
37059,NC,"Davie County, North Carolina",SHNFB NW NC,2021,0.1190," 5,050 ",0.121000," 1,100 "
37061,NC,"Duplin County, North Carolina","SHFB SE NC, Central/Eastern",2021,0.1300," 6,480 ",0.198000," 2,380 "
37063,NC,"Durham County, North Carolina","Inter-Faith, Central/Eastern",2021,0.0960," 30,870 ",0.153000," 10,080 "
37065,NC,"Edgecombe County, North Carolina","Inter-Faith, Central/Eastern",2021,0.1430," 7,100 ",0.305000," 3,450 "
37067,NC,"Forsyth County, North Carolina",SHNFB NW NC,2021,0.1160," 44,070 ",0.168000," 14,800 "
37069,NC,"Franklin County, North Carolina",Central/Eastern,2021,0.1030," 6,980 ",0.153000," 2,280 "
37071,NC,"Gaston County, North Carolina",METROLINA,2021,0.1230," 27,870 ",0.158000," 8,120 "
37073,NC,"Gates County, North Carolina",ALBEMARLE,2021,0.1160," 1,230 ",0.170000, 360 
37075,NC,"Graham County, North Carolina",MANNA,2021,0.1500," 1,210 ",0.155000, 250 
37077,NC,"Granville County, North Carolina",Central/Eastern,2021,0.1020," 6,220 ",0.155000," 1,940 "
37079,NC,"Greene County, North Carolina",Central/Eastern,2021,0.1360," 2,780 ",0.233000, 970 
37081,NC,"Guilford County, North Carolina",SHNFB NW NC,2021,0.1100," 58,960 ",0.178000," 21,400 "
37083,NC,"Halifax County, North Carolina",Central/Eastern,2021,0.1600," 7,870 ",0.300000," 3,190 "
37085,NC,"Harnett County, North Carolina","SHFB SE NC, Central/Eastern",2021,0.1220," 16,220 ",0.167000," 5,770 "
37087,NC,"Haywood County, North Carolina",MANNA,2021,0.1290," 7,950 ",0.137000," 1,540 "
37089,NC,"Henderson County, North Carolina",MANNA,2021,0.1120," 12,910 ",0.124000," 2,710 "
37091,NC,"Hertford County, North Carolina",ALBEMARLE,2021,0.1320," 2,900 ",0.292000," 1,200 "
37093,NC,"Hoke County, North Carolina",SHFB SE NC,2021,0.1330," 6,930 ",0.198000," 2,820 "
37095,NC,"Hyde County, North Carolina",ALBEMARLE,2021,0.1490, 700 ,0.223000, 210 
37097,NC,"Iredell County, North Carolina","SHNFB NW NC, METROLINA",2021,0.1020," 18,800 ",0.119000," 5,020 "
37099,NC,"Jackson County, North Carolina",MANNA,2021,0.1410," 6,060 ",0.160000," 1,160 "
37101,NC,"Johnston County, North Carolina","Inter-Faith, Central/Eastern",2021,0.1050," 22,210 ",0.129000," 6,930 "
37103,NC,"Jones County, North Carolina",Central/Eastern,2021,0.1490," 1,390 ",0.191000, 340 
37105,NC,"Lee County, North Carolina",Central/Eastern,2021,0.1310," 8,190 ",0.182000," 2,760 "
37107,NC,"Lenoir County, North Carolina",Central/Eastern,2021,0.1610," 8,900 ",0.268000," 3,380 "
37109,NC,"Lincoln County, North Carolina",METROLINA,2021,0.1120," 9,610 ",0.105000," 1,910 "
37111,NC,"McDowell County, North Carolina",MANNA,2021,0.1370," 6,080 ",0.150000," 1,350 "
37113,NC,"Macon County, North Carolina",MANNA,2021,0.1440," 5,260 ",0.148000, 970 
37115,NC,"Madison County, North Carolina",MANNA,2021,0.1330," 2,830 ",0.119000, 460 
37117,NC,"Martin County, North Carolina",ALBEMARLE,2021,0.1390," 3,090 ",0.259000," 1,190 "
37119,NC,"Mecklenburg County, North Carolina",METROLINA,2021,0.0910," 100,470 ",0.137000," 35,260 "
37121,NC,"Mitchell County, North Carolina",MANNA,2021,0.1380," 2,070 ",0.131000, 360 
37123,NC,"Montgomery County, North Carolina",METROLINA,2021,0.1260," 3,270 ",0.185000," 1,050 "
37125,NC,"Moore County, North Carolina",Central/Eastern,2021,0.1040," 10,300 ",0.112000," 2,400 "
37127,NC,"Nash County, North Carolina","Inter-Faith, Central/Eastern",2021,0.1160," 11,010 ",0.209000," 4,370 "
37129,NC,"New Hanover County, North Carolina",Central/Eastern,2021,0.1170," 26,430 ",0.123000," 5,100 "
37131,NC,"Northampton County, North Carolina",ALBEMARLE,2021,0.1270," 2,280 ",0.275000, 870 
37133,NC,"Onslow County, North Carolina",Central/Eastern,2021,0.1340," 26,930 ",0.168000," 8,270 "
37135,NC,"Orange County, North Carolina","Inter-Faith, Central/Eastern",2021,0.0950," 13,940 ",0.066000," 1,900 "
37137,NC,"Pamlico County, North Carolina",Central/Eastern,2021,0.1230," 1,510 ",0.166000, 310 
37139,NC,"Pasquotank County, North Carolina",ALBEMARLE,2021,0.1090," 4,400 ",0.193000," 1,710 "
37141,NC,"Pender County, North Carolina",Central/Eastern,2021,0.1110," 6,660 ",0.127000," 1,710 "
37143,NC,"Perquimans County, North Carolina",ALBEMARLE,2021,0.1230," 1,600 ",0.174000, 430 
37145,NC,"Person County, North Carolina",Central/Eastern,2021,0.1340," 5,230 ",0.215000," 1,750 "
37147,NC,"Pitt County, North Carolina",Central/Eastern,2021,0.1310," 22,320 ",0.209000," 7,640 "
37149,NC,"Polk County, North Carolina",MANNA,2021,0.1220," 2,380 ",0.129000, 410 
37151,NC,"Randolph County, North Carolina",SHNFB NW NC,2021,0.1350," 19,360 ",0.157000," 5,110 "
37153,NC,"Richmond County, North Carolina",Central/Eastern,2021,0.1660," 7,180 ",0.274000," 2,790 "
37155,NC,"Robeson County, North Carolina",SHFB SE NC,2021,0.1800," 21,410 ",0.248000," 7,420 "
37157,NC,"Rockingham County, North Carolina",SHNFB NW NC,2021,0.1400," 12,770 ",0.193000," 3,570 "
37159,NC,"Rowan County, North Carolina",METROLINA,2021,0.1320," 19,220 ",0.180000," 5,870 "
37161,NC,"Rutherford County, North Carolina",METROLINA,2021,0.1600," 10,340 ",0.196000," 2,590 "
37163,NC,"Sampson County, North Carolina","SHFB SE NC, Central/Eastern",2021,0.1250," 7,460 ",0.192000," 2,820 "
37165,NC,"Scotland County, North Carolina",Central/Eastern,2021,0.1790," 6,150 ",0.305000," 2,410 "
37167,NC,"Stanly County, North Carolina",METROLINA,2021,0.1250," 7,790 ",0.158000," 2,150 "
37169,NC,"Stokes County, North Carolina",SHNFB NW NC,2021,0.1380," 6,160 ",0.164000," 1,380 "
37171,NC,"Surry County, North Carolina",SHNFB NW NC,2021,0.1450," 10,340 ",0.150000," 2,290 "
37173,NC,"Swain County, North Carolina",MANNA,2021,0.1510," 2,140 ",0.168000, 550 
37175,NC,"Transylvania County, North Carolina",MANNA,2021,0.1200," 3,970 ",0.138000, 720 
37177,NC,"Tyrrell County, North Carolina",ALBEMARLE,2021,0.1370, 470 ,0.235000, 120 
37179,NC,"Union County, North Carolina",METROLINA,2021,0.0760," 17,850 ",0.069000," 4,350 "
37181,NC,"Vance County, North Carolina",Central/Eastern,2021,0.1430," 6,110 ",0.266000," 2,720 "
37183,NC,"Wake County, North Carolina","Inter-Faith, Central/Eastern",2021,0.0850," 94,980 ",0.089000," 23,720 "
37185,NC,"Warren County, North Carolina",Central/Eastern,2021,0.1380," 2,610 ",0.282000, 970 
37187,NC,"Washington County, North Carolina",ALBEMARLE,2021,0.1660," 1,860 ",0.297000, 680 
37189,NC,"Watauga County, North Carolina",SHNFB NW NC,2021,0.1260," 6,790 ",0.092000, 630 
